,author,author_id
721,J.R.R. Tolkien,2220166108019312501
722,J.R.R. Tolkien,2220166108019312501
723,Ruth S. Noel,2868749164459356338
724,J.R.R. Tolkien,2220166108019312501
725,J.R.R. Tolkien,2220166108019312501
726,Bryce Courtenay,1215268994008058718
727,Bryce Courtenay,1215268994008058718
728,Bryce Courtenay,1215268994008058718
729,E.V. Gordon,-3696685953877332074
730,Sarah M.  Anderson,-1709803250236218349
731,David McCullough,51651438944194875
732,David McCullough,51651438944194875
733,David McCullough,51651438944194875
734,David McCullough,51651438944194875
735,David McCullough,51651438944194875
736,Jeffery Deaver,-5670856724403430239
